,price,title,stock,maftr
0,$70.04,Winchester USA Ready Match Large Pistol Primers 1000 Count,Out of Stock,Winchester
1,$70.04,Winchester USA Ready Match Large Rifle Primers 1000 Count,Out of Stock,Winchester
2,$70.04,Winchester USA Ready Match Small Pistol Primers 1000 Count,Out of Stock,Winchester
3,$70.04,Winchester USA Ready Match Small Rifle Primers 1000 Count,Out of Stock,Winchester
4,$60.90,Winchester Small Pistol Primers 1000 Count,Out of Stock,Winchester
5,$69.13,#500 Small Pistol Primer (1000 Count),Out of Stock,CCI 
6,$60.90,Winchester Large Pistol Primers 1000 Count,Out of Stock,Winchester
7,$69.13,#300 Large Pistol Primer (1000 Count),Out of Stock,CCI 
8,$60.90,Winchester Small Rifle Primers 1000 Count,Out of Stock,Winchester
9,$69.13,#400 Small Rifle Primer (1000 Count),Out of Stock,CCI 
10,$60.90,Winchester Large Rifle Primers 1000 Count,Out of Stock,Winchester
11,$69.13,#200 Large Rifle Primer (1000 Count),Out of Stock,CCI 
12,$60.90,Winchester Small Pistol Magnum Primers 1000 Count,Out of Stock,Winchester
13,$67.28,Winchester Magnum Large Rifle Primers 1000 Count,Out of Stock,Winchester
14,$76.26,#450 Magnum Small Rifle Primer (1000 Count),Out of Stock,CCI 
15,$76.26,#250 Magnum Large Rifle Primer (1000 Count),Out of Stock,CCI 
16,$69.13,#550 Magnum Small Pistol Primer (1000 Count),Out of Stock,CCI 
17,$76.26,#350 Magnum Large Pistol Primer (1000 Count),Out of Stock,CCI 
18,$76.42,Gold Medal Large Rifle Match Primer #GM210M (1000 Count),Out of Stock,Federal 
19,$90.68,#41 5.56 & 30 Carbine NATO Spec Primer 1000 Count,Out of Stock,CCI 
20,$91.14,#34 7.62mm & 30-06 NATO Spec Primer 1000 Count,Out of Stock,CCI 
21,$121.52,BR2 Large Rifle Bench Rest Primers (1000 Count),Out of Stock,CCI 
22,$121.52,BR4 Small Rifle Bench Rest Primer (1000 Count),Out of Stock,CCI 
23,$442.94,#35 50 Caliber BMG Primer (500 Count),Out of Stock,CCI 
24,$59.67,1 1/2 Small Pistol Primer (1000 Count),Out of Stock,Remington
25,$59.67,2 1/2 Large Pistol Primer (1000 Count),Out of Stock,Remington
26,$59.67,6 1/2 Small Rifle Primer (1000 Count),Out of Stock,Remington
27,$59.67,9 1/2 Large Rifle Primer (1000 Count),Out of Stock,Remington
28,$65.78,9 1/2 Magnum Large Rifle Primer (1000 Count),Out of Stock,Remington
29,$59.67,5 1/2 Small Mag Pistol Primer (1000 Count),Out of Stock,Remington
30,$59.67,7 1/2 Bench Rest Small Rifle Primer (1000 Count),Out of Stock,Remington
31,$80.86,209 Premier STS Shotshell Primer (1000 Count),Out of Stock,Remington
32,$54.96,Winchester Shot Shell Primers 1000 Count,Out of Stock,Winchester
33,$71.15,Federal Small Pistol Primer #100 (1000 Count),Out of Stock,Federal 
34,$71.15,Large Pistol Primer #150 (1000 Count),Out of Stock,Federal 
35,$78.43,Magnum Large Pistol Primer #155 (1000 Count),Out of Stock,Federal 
36,$71.15,Magnum Small Pistol Primer #200 (1000 Count),Out of Stock,Federal 
37,$71.15,Small Rifle Primer #205 (1000 Count),Out of Stock,Federal 
38,$57.96,209A Shotshell Primer 1000 Count,Out of Stock,Federal 
39,$71.15,Large Rifle Primer #210 (1000 Count),Out of Stock,Federal 
40,$78.43,Magnum Large Rifle Primer #215 (1000 Count),Out of Stock,Federal 
41,$76.42,Gold Medal Small Pistol Match Primer #GM100M (1000 Count),Out of Stock,Federal 
42,$76.42,Gold Medal Large Pistol Match Primer #GM150M (1000 Count),Out of Stock,Federal 
43,$83.52,Gold Medal Magnum Large Pistol Match Primer #GM155M (1000 Count),Out of Stock,Federal 
44,$76.42,Gold Medal Magnum Small Pistol Match Primer #GM200M (1000 Count),Out of Stock,Federal 
45,$76.42,Gold Medal Small Rifle Match Primer #GM205M (1000 Count),Out of Stock,Federal 
46,$76.42,Gold Medal AR Match Small Rifle Primer #GM205MAR (1000 Count),Out of Stock,Federal 
47,$83.52,Gold Medal Magnum Large Rifle Match Primer #GM215M (1000 Count),Out of Stock,Federal 
